date,5y Note,2y Note,10y Note,30y Bond,10y Note Ultra,30y Bond Ultra
1977-08-22,,,,100.0,,
1977-08-23,,,,100.3968253968,,
1977-08-24,,,,100.2747252747,,
1977-08-25,,,,100.7020757021,,
1977-08-26,,,,100.6715506716,,
1977-08-29,,,,100.7631257631,,
1977-08-30,,,,100.6715506716,,
1977-08-31,,,,100.7326007326,,
1977-09-01,,,,100.6715506716,,
1977-09-02,,,,101.0683760684,,
1977-09-06,,,,101.0378510379,,
1977-09-07,,,,100.8547008547,,
1977-09-08,,,,100.9157509158,,
1977-09-09,,,,100.3052503053,,
1977-09-12,,,,100.3663003663,,
1977-09-13,,,,100.6715506716,,
1977-09-14,,,,100.641025641,,
1977-09-15,,,,100.7936507937,,
1977-09-16,,,,100.8547008547,,
1977-09-19,,,,100.8547008547,,
1977-09-20,,,,100.7020757021,,
1977-09-21,,,,100.8241758242,,
1977-09-22,,,,100.4578754579,,
1977-09-23,,,,100.57997558,,
1977-09-26,,,,100.3968253968,,
1977-09-27,,,,100.6715506716,,
1977-09-28,,,,100.6105006105,,
1977-09-29,,,,100.6105006105,,
1977-09-30,,,,100.57997558,,
1977-10-03,,,,100.3052503053,,
1977-10-04,,,,100.3968253968,,
1977-10-05,,,,100.3968253968,,
1977-10-06,,,,100.2442002442,,
1977-10-07,,,,100.0,,
1977-10-10,,,,99.8778998779,,
1977-10-11,,,,99.5421245421,,
1977-10-12,,,,99.2673992674,,
1977-10-13,,,,99.2673992674,,
1977-10-14,,,,99.5115995116,,
1977-10-17,,,,99.358974359,,
1977-10-18,,,,99.2979242979,,
1977-10-19,,,,99.4810744811,,
1977-10-20,,,,99.6031746032,,
1977-10-21,,,,99.4505494505,,
1977-10-24,,,,99.4810744811,,
1977-10-25,,,,99.2368742369,,
1977-10-26,,,,99.2673992674,,
1977-10-27,,,,99.2979242979,,
1977-10-28,,,,99.2673992674,,
1977-10-31,,,,98.778998779,,
1977-11-01,,,,98.4737484737,,
1977-11-02,,,,98.4126984127,,
1977-11-03,,,,98.4126984127,,
1977-11-04,,,,98.6874236874,,
1977-11-07,,,,98.9621489621,,
1977-11-08,,,,99.1452991453,,
1977-11-09,,,,99.1147741148,,
1977-11-10,,,,99.1452991453,,
1977-11-11,,,,99.6336996337,,
1977-11-14,,,,99.3894993895,,
1977-11-15,,,,99.2979242979,,
1977-11-16,,,,99.4505494505,,
1977-11-17,,,,99.3894993895,,
1977-11-18,,,,99.5726495726,,
1977-11-21,,,,99.3894993895,,
1977-11-22,,,,99.5421245421,,
1977-11-23,,,,99.6646379262,,
1977-11-25,,,,99.5421245421,,
1977-11-28,,,,99.5727528881,,
1977-11-29,,,,99.5114961961,,
1977-11-30,,,,99.32772612,,
1977-12-01,,,,99.297097774,,
1977-12-02,,,,99.17458439,,
1977-12-05,,,,99.0214426599,,
1977-12-06,,,,98.7457875458,,
1977-12-07,,,,98.6539025077,,
1977-12-08,,,,98.8683009298,,
1977-12-09,,,,98.8376725838,,
1977-12-12,,,,98.6845308538,,
1977-12-13,,,,98.5926458157,,
1977-12-14,,,,98.4395040857,,
1977-12-15,,,,98.3169907016,,
1977-12-16,,,,98.2863623556,,
1977-12-19,,,,97.8269371654,,
1977-12-20,,,,97.4593970132,,
1977-12-21,,,,97.5819103973,,
1977-12-22,,,,97.4287686672,,
1977-12-23,,,,97.4287686672,,
1977-12-27,,,,97.2449985912,,
1977-12-28,,,,97.1224852071,,
1977-12-29,,,,96.816201747,,
1977-12-30,,,,97.5512820513,,
1978-01-03,,,,96.908086785,,
1978-01-04,,,,96.999971823,,
1978-01-05,,,,96.816201747,,
1978-01-06,,,,96.3567765568,,
1978-01-09,,,,96.6018033249,,
1978-01-10,,,,95.5910679065,,
1978-01-11,,,,95.1010143702,,
1978-01-12,,,,95.3766694844,,
1978-01-13,,,,95.7135812905,,
1978-01-16,,,,95.3460411383,,
1978-01-17,,,,95.4379261764,,
1978-01-18,,,,95.4379261764,,
1978-01-19,,,,95.5298112144,,
1978-01-20,,,,95.5298112144,,
1978-01-23,,,,95.5604395604,,
1978-01-24,,,,95.2847844463,,
1978-01-25,,,,95.1622710623,,
1978-01-26,,,,95.4379261764,,
1978-01-27,,,,95.4991828684,,
1978-01-30,,,,95.5604395604,,
1978-01-31,,,,95.7748379825,,
1978-02-01,,,,95.4072978304,,
1978-02-02,,,,95.5298112144,,
1978-02-03,,,,95.3460411383,,
1978-02-06,,,,95.0397576782,,
1978-02-07,,,,95.2847844463,,
1978-02-08,,,,95.1928994083,,
1978-02-09,,,,95.3154127923,,
1978-02-10,,,,95.1316427163,,
1978-02-13,,,,95.0397576782,,
1978-02-14,,,,94.9172442942,,
1978-02-15,,,,94.7334742181,,
1978-02-16,,,,94.3965624119,,
1978-02-17,,,,94.7947309101,,
1978-02-21,,,,94.549704142,,
1978-02-22,,,,94.7961680173,,
1978-02-23,,,,94.8885919705,,
1978-02-24,,,,95.3507117366,,
1978-02-27,,,,95.3507117366,,
1978-02-28,,,,95.0734398769,,
1978-03-01,,,,94.9810159237,,
1978-03-02,,,,95.2274797989,,
1978-03-03,,,,95.1966718145,,
1978-03-06,,,,95.2582877833,,
1978-03-07,,,,95.381519721,,
1978-03-08,,,,95.4739436742,,
1978-03-09,,,,95.5047516586,,
1978-03-10,,,,95.689599565,,
1978-03-13,,,,95.8436394871,,
1978-03-14,,,,95.7204075494,,
1978-03-15,,,,95.7820235183,,
1978-03-16,,,,95.7820235183,,
1978-03-17,,,,95.8436394871,,
1978-03-20,,,,96.1825273155,,
1978-03-21,,,,96.0901033623,,
1978-03-22,,,,95.6587915806,,
1978-03-23,,,,95.381519721,,
1978-03-27,,,,95.0118239081,,
1978-03-28,,,,94.9502079393,,
1978-03-29,,,,95.0734398769,,
1978-03-30,,,,94.8885919705,,
1978-03-31,,,,94.5805121264,,
1978-04-03,,,,94.6113201108,,
1978-04-04,,,,94.8577839861,,
1978-04-05,,,,94.5188961576,,
1978-04-06,,,,94.549704142,,
1978-04-07,,,,94.6421280952,,
1978-04-10,,,,94.549704142,,
1978-04-11,,,,94.3648562356,,
1978-04-12,,,,94.3340482512,,
1978-04-13,,,,94.4880881732,,
1978-04-14,,,,94.9502079393,,
1978-04-17,,,,95.1042478613,,
1978-04-18,,,,95.1350558457,,
1978-04-19,,,,94.8577839861,,
1978-04-20,,,,94.7345520484,,
1978-04-21,,,,94.4880881732,,
1978-04-24,,,,94.2724322824,,
1978-04-25,,,,94.39566422,,
1978-04-26,,,,94.0875843759,,
1978-04-27,,,,94.0567763915,,
1978-04-28,,,,94.1183923603,,
1978-05-01,,,,94.1492003447,,
1978-05-02,,,,94.2108163135,,
1978-05-03,,,,94.0567763915,,
1978-05-04,,,,94.3648562356,,
1978-05-05,,,,93.7795045319,,
1978-05-08,,,,93.6562725942,,
1978-05-09,,,,93.8411205007,,
1978-05-10,,,,93.8103125163,,
1978-05-11,,,,93.8411205007,,
1978-05-12,,,,93.8103125163,,
1978-05-15,,,,93.9951604227,,
1978-05-16,,,,94.0259684071,,
1978-05-17,,,,94.241624298,,
1978-05-18,,,,93.6562725942,,
1978-05-19,,,,93.5022326722,,
1978-05-22,,,,93.5946566254,,
1978-05-23,,,,93.717888563,,
1978-05-24,,,,93.4694647365,,
1978-05-25,,,,93.2831468666,,
1978-05-26,,,,93.22104091,,
1978-05-30,,,,93.0968289967,,
1978-05-31,,,,93.0657760184,,
1978-06-01,,,,93.2520938883,,
1978-06-02,,,,93.6247296281,,
1978-06-05,,,,93.717888563,,
1978-06-06,,,,93.8731534546,,
1978-06-07,,,,94.0284183462,,
1978-06-08,,,,93.8421004763,,
1978-06-09,,,,93.7489415414,,
1978-06-12,,,,93.6557826064,,
1978-06-13,,,,93.6557826064,,
1978-06-14,,,,93.9352594113,,
1978-06-15,,,,93.8731534546,,
1978-06-16,,,,93.6247296281,,
1978-06-19,,,,93.5005177148,,
1978-06-20,,,,93.22104091,,
1978-06-21,,,,92.9105111268,,
1978-06-22,,,,93.0347230401,,
1978-06-23,,,,92.7241932569,,
1978-06-26,,,,92.5068224087,,
1978-06-27,,,,92.6931402786,,
1978-06-28,,,,92.8173521918,,
1978-06-29,,,,92.6931402786,,
1978-06-30,,,,92.4136634737,,
1978-07-03,,,,92.5068224087,,
1978-07-05,,,,92.2894515604,,
1978-07-06,,,,92.4136634737,,
1978-07-07,,,,91.9789217773,,
1978-07-10,,,,91.6062860374,,
1978-07-11,,,,91.761550929,,
1978-07-12,,,,91.5752330591,,
1978-07-13,,,,91.5752330591,,
1978-07-14,,,,91.7926039073,,
1978-07-17,,,,92.1341866688,,
1978-07-18,,,,92.1652396472,,
1978-07-19,,,,92.3205045387,,
1978-07-20,,,,91.9789217773,,
1978-07-21,,,,91.9478687989,,
1978-07-24,,,,91.8236568857,,
1978-07-25,,,,91.9789217773,,
1978-07-26,,,,92.1962926255,,
1978-07-27,,,,92.7241932569,,
1978-07-28,,,,93.1589349533,,
1978-07-31,,,,92.9726170834,,
1978-08-01,,,,93.1589349533,,
1978-08-02,,,,93.904206433,,
1978-08-03,,,,94.6494779126,,
1978-08-04,,,,94.7115838692,,
1978-08-07,,,,94.9600076958,,
1978-08-08,,,,95.177378544,,
1978-08-09,,,,95.177378544,,
1978-08-10,,,,94.4321070644,,
1978-08-11,,,,94.401054086,,
1978-08-14,,,,93.904206433,,
1978-08-15,,,,94.0284183462,,
1978-08-16,,,,93.2831468666,,
1978-08-17,,,,93.717888563,,
1978-08-18,,,,93.9973653679,,
1978-08-21,,,,94.4631600427,,
1978-08-22,,,,94.2768421728,,
1978-08-23,,,,95.0221136524,,
1978-08-24,,,,94.8047428042,,
1978-08-25,,,,95.2413435934,,
